"APPID","CAT_COMP_1","CAT_COMP_2","GIFT_CAT_DESC","CAMPAIGN_CDE","FIN_AID_ELEMENT","MEM_HONOR_CDE","FUTURE_GOAL_1","FUTURE_GOAL_2","FUTURE_GOAL_3","FUTURE_GOAL_4","FUTURE_GOAL_5","FUND_GOAL_AMT","ANNUAL_GOAL_AMT","FUND_TYPE","TOT_XFER_TO_BU","INC_INT_GENERATED","GIVING_CLUB_CDE","DESIGNATION_CDE","CASH_ACCT_CDE","CASH_GL_MASTER_APPID","REV_ACCT_CDE","REV_GL_MASTER_APPID","ASSET_ACCT_CDE","ASSET_GL_MASTER_APPID","LIAB_ACCT_CDE","LIAB_GL_MASTER_APPID","CASE_GROUP","CASE_LINE_NUM","FOLIO","CHARITABLE_FLAG","VALID_UNTIL_DTE","ACTION_REQ_FLAG","REQ_ACTION_DONE","GL_EXPECTED","GL_REVENUE","RANGE_1_LIMIT","RANGE_2_LIMIT","RANGE_3_LIMIT","RANGE_4_LIMIT","RANGE_5_LIMIT","RANGE_6_LIMIT","RANGE_7_LIMIT","RANGE_8_LIMIT","RANGE_9_LIMIT","RANGE_10_LIMIT","RANGE_11_LIMIT","RANGE_12_LIMIT","RANGE_1_NUM","RANGE_1_AMT","RANGE_2_NUM","RANGE_2_AMT","RANGE_3_NUM","RANGE_3_AMT","RANGE_4_NUM","RANGE_4_AMT","RANGE_5_NUM","RANGE_5_AMT","RANGE_6_NUM","RANGE_6_AMT","RANGE_7_NUM","RANGE_7_AMT","RANGE_8_NUM","RANGE_8_AMT","RANGE_9_NUM","RANGE_9_AMT","RANGE_10_NUM","RANGE_10_AMT","RANGE_11_NUM","RANGE_11_AMT","RANGE_12_NUM","RANGE_12_AMT","CASH_GIFT_NUM","CASH_GIFT_AMT","PROMISE_NUM","PROMISE_AMT","PROMISE_PMT_NUM","PROMISE_PMT_AMT","MATCH_GIFT_NUM","MATCH_GIFT_AMT","MATCH_PMT_NUM","MATCH_PMT_AMT","SOFT_CREDIT_NUM","SOFT_CREDIT_AMT","NON_CASH_NUM","NON_CASH_AMT","GIFTS_NUM","GIFTS_AMT","DEFER_NUM","DEFER_AMT","DEFER_PMT_NUM","DEFER_PMT_AMT","DON_RESTR_NUM","DON_RESTR_AMT","ORG_RESTR_NUM","ORG_RESTR_AMT","FIRST_GIFT_DTE","FIRST_GIFT_AMT","LAST_GIFT_DTE","LAST_GIFT_AMT","LARGEST_GIFT_DTE","LARGEST_GIFT_AMT","SMALLEST_GIFT_DTE","SMALLEST_GIFT_AMT","ALT_DESIGNATION_CD","ONLINE_GIVING_AVAIL","ONLINE_GIVING_DESC","PROJECT_CODE","APPROWVERSION","USER_NAME","JOB_NAME","JOB_TIME"
"11","CFDES","20199","Homecoming","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","02","01   0000 100  1225","9740","01   1405 430  4320","1822","01   0000 110  1017","5512","","","A","00","","N","","N","N","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","9","3050.00","0","0.00","0.00","0.00","0","0.00","0","0.00","1","2500.00","0","0.00","9","3050.00","0","0.00","0","0.00","0","0.00","0","0.00","10/26/2016 10:19:40 AM","50.00","9/7/2021 12:00:00 AM","50.00","7/15/2021 12:00:00 AM","2500.00","10/26/2016 10:19:40 AM","50.00","","N","","","System.Byte[]","JCOVARRUBIAS","w_gift_entry","9/13/2021 2:28:43 PM"
"12","CFDES","20200","Homecoming General Support","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","01","01   0000 100  1225","9740","01   0000 430  4336","5927","01   0000 110  1017","5512","","","A","00","","Y","12/31/2010 12:00:00 AM","N","N","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","183","71695.99","0","0.00","19.00","1600.00","0","0.00","0","0.00","95","52106.10","0","0.00","202","73295.99","0","0.00","0","0.00","0","0.00","0","0.00","10/24/2001 4:31:11 PM","100.00","11/12/2020 9:13:15 AM","100.00","11/26/2019 3:24:46 PM","5000.00","11/7/2018 4:18:42 PM","10.00","","N","","","System.Byte[]","drlynch","w_gift_entry","11/12/2020 9:16:45 AM"
"13","CFDES","20201","Batten Family Fund","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","02","02   0000 100  1253","2156","02   0000 430  4124","2563","02   0000 110  1017","2164","","","A","00","","N","","N","N","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","2","15974.82","0","0.00","0.00","0.00","0","0.00","0","0.00","4","31949.64","0","0.00","2","15974.82","0","0.00","0","0.00","0","0.00","0","0.00","9/27/2011 4:17:45 PM","15000.00","10/11/2011 11:47:07 AM","974.82","9/27/2011 4:17:45 PM","15000.00","10/11/2011 11:47:07 AM","974.82","","N","","","System.Byte[]","MTALLEN","w_gift_entry","2/21/2012 12:26:36 PM"
"14","CFDES","20202","NYSP Bicycle Program","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","02","02   0000 100  1253","2156","02   0000 410  4112","2484","02   0000 110  1017","2164","","","A","00","","N","","N","N","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","8","800.00","0","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","8","800.00","0","0.00","0","0.00","0","0.00","0","0.00","7/9/2002 1:26:19 PM","100.00","7/9/2002 1:54:05 PM","100.00","7/9/2002 1:54:05 PM","100.00","7/9/2002 1:26:19 PM","100.00","","N","","","System.Byte[]","MTALLEN","w_recalc_summ_info","8/8/2011 4:04:25 PM"
"15","CFDES","20250","Georgianna Thompson Memorial Organ Fund","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","01","02   0000 100  1253","2156","02   0000 430  1021","2526","01   0000 110  1017","5512","","","A","00","","Y","12/31/2010 12:00:00 AM","N","N","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","15","8076.80","0","0.00","0.00","0.00","0","0.00","0","0.00","11","7276.80","0","0.00","15","8076.80","0","0.00","0","0.00","0","0.00","0","0.00","9/5/1997 12:00:00 AM","50.00","11/15/2017 8:15:44 AM","500.00","12/31/2012 12:00:00 AM","1176.80","9/5/1997 12:00:00 AM","50.00","","N","","","System.Byte[]","mtallen","w_gift_entry","11/15/2017 10:34:21 AM"
"16","ACADE","41100","Business Department General Support","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","01","01   0000 100  1225","9740","01   0000 430  4336","5927","01   0000 110  1017","5512","","","A","00","","Y","12/31/2010 12:00:00 AM","N","N","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","4","160.00","0","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","4","160.00","0","0.00","0","0.00","0","0.00","0","0.00","12/31/2018 12:00:00 AM","25.00","12/31/2018 12:00:00 AM","25.00","12/31/2018 12:00:00 AM","60.00","12/31/2018 12:00:00 AM","25.00","","N","","","System.Byte[]","drlynch","w_gift_entry","1/8/2019 3:29:50 PM"
"17","ACADE","41150","Business Department In-Kind Gifts","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","01","01   1018 540  5311","6662","01   0000 430  4700","5942","01   0000 110  1017","5512","","","A","00","","Y","12/31/2010 12:00:00 AM","N","N","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","N","","","System.Byte[]","MTALLEN","w_gift_category_list","8/19/2011 8:33:03 AM"
"18","ACADE","41200","Psychology Department General Support","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","01","01   0000 100  1220","5509","01   0000 430  4336","5927","01   0000 110  1017","5512","","","A","00","","Y","12/31/2010 12:00:00 AM","N","N","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","N","","","System.Byte[]","MTALLEN","w_gift_category_list","8/18/2011 4:06:54 PM"
"19","ACADE","41250","Psychology Department In-Kind Gifts","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","01","01   1018 540  5311","6662","01   0000 430  4700","5942","01   0000 110  1017","5512","","","A","00","","Y","12/31/2010 12:00:00 AM","N","N","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","N","","","System.Byte[]","MTALLEN","w_gift_category_list","8/19/2011 8:33:03 AM"
"20","ACADE","41300","Art Department General Support","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","01","01   0000 100  1220","5509","01   0000 430  4336","5927","01   0000 110  1017","5512","","","A","00","","Y","12/31/2010 12:00:00 AM","N","N","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","6/6/2016 3:18:02 PM","15531.00","6/6/2016 3:18:02 PM","15531.00","6/6/2016 3:18:02 PM","15531.00","6/6/2016 3:18:02 PM","15531.00","","N","","","System.Byte[]","MTALLEN","w_gift_entry","6/6/2016 3:24:07 PM"
"21","ACADE","40300","Admissions General Support","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","01","01   0000 100  1220","5509","01   0000 430  4336","5927","01   0000 110  1017","5512","","","A","00","","Y","12/31/2010 12:00:00 AM","N","N","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","1","50.00","0","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","1","50.00","0","0.00","0","0.00","0","0.00","0","0.00","10/25/2019 1:45:47 PM","50.00","10/25/2019 1:45:47 PM","50.00","10/25/2019 1:45:47 PM","50.00","10/25/2019 1:45:47 PM","50.00","","N","","","System.Byte[]","drlynch","w_gift_entry","10/25/2019 1:47:01 PM"
"22","ACADE","40301","Ethical Student Leadership Conference Fund","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","05","05   0000 100  1240","5460","05   1476 430  4336","8276","01   0000 110  1017","5512","","","A","00","","Y","1/1/2020 12:00:00 AM","N","N","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","37","89800.00","1","2000.00","1.00","100.00","0","0.00","0","0.00","14","84700.00","0","0.00","38","89900.00","0","0.00","0","0.00","0","0.00","0","0.00","11/16/2009 10:28:57 AM","3000.00","1/23/2018 5:03:12 PM","500.00","6/5/2014 4:07:03 PM","15000.00","11/4/2015 9:47:55 AM","10.00","","N","","","System.Byte[]","mtallen","w_gift_entry","2/2/2018 9:29:14 AM"
"23","ACADE","40350","Admissions In-Kind Gift","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","01","01   1018 540  5311","6662","01   0000 430  4700","5942","01   0000 110  1017","5512","","","A","00","","Y","12/31/2010 12:00:00 AM","N","N","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","N","","","System.Byte[]","MTALLEN","w_gift_cat_detail","1/16/2014 8:16:35 AM"
"24","ACADE","40400","Financial Aid General Support","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","01","01   0000 100  1220","5509","01   0000 430  4336","5927","01   0000 110  1017","5512","","","A","00","","Y","12/31/2010 12:00:00 AM","N","N","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","2","5132.00","0","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","2","5132.00","0","0.00","0","0.00","0","0.00","0","0.00","12/13/2006 5:20:26 PM","2000.00","6/14/2018 12:00:00 AM","3132.00","6/14/2018 12:00:00 AM","3132.00","12/13/2006 5:20:26 PM","2000.00","","N","","","System.Byte[]","drlynch","w_gift_entry","7/9/2018 2:55:22 PM"
"25","ACADE","40450","Financial Aid In-Kind Gifts","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","01","01   1018 540  5311","6662","01   0000 430  4700","5942","01   0000 110  1017","5512","","","A","00","","Y","12/31/2010 12:00:00 AM","N","N","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","N","","","System.Byte[]","MTALLEN","w_gift_category_list","8/19/2011 8:16:59 AM"
