"GIFT_GROUP_NUM","GIFT_NUM","DONOR_ID","RECEIPT_ADDR_CDE","CAT_COMP_1","CAT_COMP_2","MEM_HONOR_CDE","AID_ELEMENT","CAMPAIGN_CDE","SOLICIT_CDE","GIVING_CLUB_CDE","SOLICITOR_ID","GIFT_DTE","GIFT_AMT","GIVING_RELATION","LETTER_TO_SEND","NOTATION_1","NOTATION_2","PROPOSAL_NUM","GIFT_CLASS","SUB_CLASS_CDE","LAST_RECPT_NUM","BANK_ID","CHECK_CC_NUM","LEGAL_TENDER","EXPIRE_DTE","ACK_DATE","GIFT_SET_CDE","ANON_GIFT_FLAG","PRINT_RECPT_YN","IMMED_LETTER_YN","BOOK_YN","SALUT_CDE","GIFT_MASTER_STS","DEDICATEE_NOTIFIED","DEDICATION_INFO","USER_NAME","JOB_NAME","JOB_TIME"
"4216","1","23952","","CFUNR","10024","","","","","","","1/16/2020 4:02:02 PM","125.00","UC","","","","","CS","CK","0","","1203","","1/6/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/16/2020 4:12:37 PM"
"4216","2","25533","","ENSCH","70044","","","","","","","1/16/2020 4:02:02 PM","1000.00","AL","","","","","CS","CK","0","","5076","","1/12/2020 12:00:00 AM","","AS","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/16/2020 4:13:33 PM"
"4217","1","1293","","CFDES","10190","","","","","","","1/16/2020 4:16:22 PM","25.00","AL","","","","","CS","OL","0","","","","1/16/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/16/2020 4:17:32 PM"
"4218","2","131287","","CFDES","20000","INM79","","","","","","1/17/2020 2:42:11 PM","50.00","FR","","In Memory of Mrs. Juanita F. Gizzard","","","CS","CK","0","","2544","","1/12/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/17/2020 2:50:16 PM"
"4219","1","60977","","CFDES","10190","","","","","","","1/17/2020 2:53:33 PM","25.00","AL","","","","","CS","OL","0","","","","1/17/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/17/2020 2:54:26 PM"
"4220","1","108762","","CFUNR","10015","","","","","","","1/21/2020 2:02:19 PM","1050.00","BS","","","","","CS","CK","0","","0002992702","","1/15/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/21/2020 2:03:54 PM"
"4220","2","33842","","ACADE","40800","","","C69","","","","1/21/2020 2:02:19 PM","525.00","AL","","Library Renovation Project - Class of 1969","","","CS","CK","0","","5538","","1/15/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/21/2020 2:05:30 PM"
"4221","1","127552","","CFDES","10190","","","","","","","1/21/2020 2:09:44 PM","25.00","AL","","","","","CS","OL","0","","","","1/19/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/21/2020 2:10:18 PM"
"4221","2","38352","","CFDES","10190","","","","","","","1/21/2020 2:09:44 PM","20.00","AL","","","","","CS","OL","0","","","","1/20/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/21/2020 2:11:10 PM"
"4221","3","32943","","CFDES","20264","","","BTGD","","","","1/21/2020 2:09:44 PM","50.00","AL","","Bridging the Gap Campaign","","","CS","OL","0","","","","1/21/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/21/2020 2:12:38 PM"
"4221","4","8049","","CFUNR","10000","","","","","","","1/21/2020 2:09:44 PM","25.00","AL","","","","","CS","OL","0","","","","1/21/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/21/2020 2:13:09 PM"
"4222","1","5924","","CFDES","10190","","","","","","","1/22/2020 3:39:18 PM","41.67","AL","","","","","CS","OL","0","","","","1/22/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/22/2020 3:40:00 PM"
"4224","1","24935","","CFDES","10190","","","","","","","1/24/2020 1:06:52 PM","250.00","AL","","","","","CS","CK","0","","11100","","1/20/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/24/2020 1:07:47 PM"
"4225","1","7902","","CFUNR","10000","","","","","","","1/27/2020 2:32:07 PM","50.00","AL","","","","","CS","OL","0","","","","1/26/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/27/2020 2:32:59 PM"
"4225","2","38352","","CFDES","10190","","","","","","","1/27/2020 2:32:07 PM","20.00","AL","","","","","CS","OL","0","","","","1/27/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/27/2020 2:33:32 PM"
"4225","3","51452","","CFUNR","10019","INM80","","","","","","1/27/2020 2:32:07 PM","250.00","FR","","In Memory of John H. Lehmann","","","CS","OL","0","","","","1/27/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/27/2020 2:39:08 PM"
"4226","1","115308","","CFDES","10190","","","","","","","1/27/2020 2:41:30 PM","40.00","AL","","","","","CS","CK","0","","2653","","1/25/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/27/2020 2:42:21 PM"
"4227","1","50453","","CFDES","20264","","","WC","","","","1/28/2020 2:12:34 PM","150.00","BS","","Wiley Cares","","","CS","CK","0","","3260","","1/10/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/28/2020 2:13:27 PM"
"4228","1","58694","","CFUNR","10010","","","","","","","1/29/2020 2:53:51 PM","463.49","TR","","Trustee In-Kind Gift","AGB Institute for Board Chairs and Presidents","","NC","IK","0","","","","1/27/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/29/2020 2:57:22 PM"
"4230","1","115676","","CFUNR","10018","","","","","","","1/31/2020 3:30:12 PM","698.22","FD","","","","","CS","CK","0","","0000370960","","1/24/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/31/2020 3:31:21 PM"
"4230","3","26615","","CFUNR","10000","","","","","","","1/31/2020 3:30:12 PM","100.00","AL","","","","","CS","CK","0","","17358000","","1/24/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/31/2020 3:33:13 PM"
"4230","4","98068","","ENFUN","80303","","","","","","","1/31/2020 3:30:12 PM","1000.00","OR","","Donated by Wallie H. Lewis","","","CS","CK","0","","145476156","","1/28/2020 12:00:00 AM","","AS","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/4/2020 8:47:52 AM"
"4231","2","32643","","CFDES","20200","","","HC20","","","","1/31/2020 3:33:56 PM","300.00","AL","","Moves from Founders 2020 to Homecoming 2020","","","CS","OL","0","","","","1/31/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","3/19/2020 3:02:24 PM"
"4232","1","127394","","CFUNR","10017","INM77","","","","","","2/3/2020 10:22:36 AM","50.00","EM","","The Wiley Fund","In Memory of Willie & Esther Vecino","","CS","OL","0","","","","2/3/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/3/2020 3:11:52 PM"
"4232","2","38352","","CFDES","10190","","","","","","","2/3/2020 10:22:36 AM","20.00","AL","","","","","CS","OL","0","","","","2/3/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/3/2020 3:12:28 PM"
"4232","3","25169","","ANSCH","30000","","","","","","","2/3/2020 10:22:36 AM","50.00","FR","","","","","CS","OL","0","","","","2/1/2020 12:00:00 AM","","AS","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/3/2020 3:12:57 PM"
"4232","4","2572","","CFUNR","10000","","","","","","","2/3/2020 10:22:36 AM","1000.00","AL","","Revitalization Campaign","","","CS","OL","0","","","","2/1/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/3/2020 3:13:46 PM"
"4232","5","131342","","CFUNR","20265","","","WCFP","","","","2/3/2020 10:22:36 AM","25.00","FR","","Wiley Cares Food Pantry","","","CS","OL","0","","","","2/2/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/3/2020 3:14:34 PM"
"4233","1","33842","","ACADE","40800","","","C69","","","","2/3/2020 3:17:55 PM","85.00","AL","","Class of 1969 Library Support Campaign","","","CS","CK","0","","5449","","2/1/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/3/2020 3:20:25 PM"
"4234","1","26555","","CFDES","20264","","","WC","","","","2/3/2020 3:35:12 PM","33.96","FR","","Wiley Cares Donation","2 Pairs of Ladies Black Pumps","","NC","IK","0","","","","2/3/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/3/2020 3:38:31 PM"
"4235","3","127217","","CFUNR","10000","","","","","","","2/4/2020 8:44:31 AM","50.00","AL","","","","","CS","OL","0","","","","2/4/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/4/2020 2:31:37 PM"
"4236","1","5924","","CFDES","10190","","","","","","","2/6/2020 4:43:05 PM","41.67","AL","","","","","CS","OL","0","","","","2/5/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/6/2020 4:46:34 PM"
"4237","1","25327","","ENSCH","70048","","","","","","","2/7/2020 2:18:14 PM","67.59","FD","","","","","CS","CK","0","","323611","","2/4/2020 12:00:00 AM","","AS","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/7/2020 2:20:34 PM"
"4237","2","25327","","ENSCH","70005","","","","","","","2/7/2020 2:18:14 PM","926.40","FD","","","","","CS","CK","0","","323610","","2/4/2020 12:00:00 AM","","AS","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/7/2020 2:21:17 PM"
"4237","3","25327","","ANSCH","31006","","","","","","","2/7/2020 2:18:14 PM","929.40","FD","","","","","CS","CK","0","","323609","","2/4/2020 12:00:00 AM","","AS","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/7/2020 2:21:55 PM"
"4237","4","25327","","ENSCH","70012","","","","","","","2/7/2020 2:18:14 PM","615.02","FD","","","","","CS","CK","0","","323608","","2/4/2020 12:00:00 AM","","AS","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/7/2020 2:22:44 PM"
"4237","5","25327","","ENSCH","70014","","","","","","","2/7/2020 2:18:14 PM","909.81","FD","","","","","CS","CK","0","","323621","","2/4/2020 12:00:00 AM","","AS","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/7/2020 2:23:32 PM"
"4237","6","74305","","ANSCH","32025","","","FLSA","","","","2/7/2020 2:18:14 PM","2000.00","FT","","WC Honors Program Study Abroad Scholarship","","","CS","CK","0","","0001000337","","1/31/2020 12:00:00 AM","","AS","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/7/2020 2:24:51 PM"
"4238","1","25247","","CFDES","10190","","","","","","","2/7/2020 2:28:32 PM","25.00","AL","","","","","CS","OL","0","","","","2/7/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/7/2020 2:29:33 PM"
"4239","1","23356","","CFUNR","10025","","","","","","","2/7/2020 2:30:16 PM","5149.59","UN","","","","","CS","AC","0","","","","2/7/2020 12:00:00 AM","","AS","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/7/2020 2:31:59 PM"
"4239","3","23356","","ANSCH","32000","","","","","","","2/7/2020 2:30:16 PM","1000.00","UN","","","","","CS","AC","0","","","","2/7/2020 12:00:00 AM","","AS","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/7/2020 2:35:29 PM"
"4240","1","38352","","CFDES","10190","","","","","","","2/10/2020 3:32:05 PM","20.00","AL","","","","","CS","OL","0","","","","2/10/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/10/2020 3:33:17 PM"
"4241","1","32926","","ACADE","40800","","","C69","","","","2/10/2020 3:36:39 PM","450.00","AL","","Class of 1969 - Library Support Fund","","","CS","CK","0","","21570","","2/4/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/10/2020 3:37:55 PM"
"4241","2","24932","","ACADE","41901","","","WDNB","","","","2/10/2020 3:36:39 PM","2000.00","CH","","Wiley Day","","","CS","CK","0","","8594","","2/9/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/10/2020 3:49:17 PM"
"4242","1","24932","","ACADE","41901","","","WDNB","","","","2/11/2020 12:57:26 PM","284.53","CH","","Wiley Day","","","CS","CK","0","","8595","","2/9/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/11/2020 12:58:57 PM"
"4242","2","33933","","ACADE","41901","","","WDNB","","","","2/11/2020 12:57:26 PM","100.00","AL","","Wiley Day","","","CS","CK","0","","8367","","2/9/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/11/2020 1:00:42 PM"
"4242","3","131372","","ACADE","41901","","","WDNB","","","","2/11/2020 12:57:26 PM","100.00","FR","","Wiley Day","","","CS","CK","0","","8365","","2/9/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/11/2020 1:17:55 PM"
"4242","4","110703","","ACADE","41901","","","WDNB","","","","2/11/2020 12:57:26 PM","100.00","FR","","Wiley Day","","","CS","CK","0","","1388","","","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/11/2020 1:18:50 PM"
"4242","5","36902","","ACADE","41901","","","WDNB","","","","2/11/2020 12:57:26 PM","100.00","AL","","Wiley Day","","","CS","CK","0","","3345","","2/9/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/11/2020 1:19:45 PM"
"4242","6","7902","","ACADE","41901","","","WDNB","","","","2/11/2020 12:57:26 PM","25.00","AL","","Wiley Day","","","CS","CK","0","","355","","2/9/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/11/2020 1:20:28 PM"
"4242","7","25298","","ACADE","41901","","","WDNB","","","","2/11/2020 12:57:26 PM","20.00","AL","","Wiley Day","","","CS","CK","0","","7715","","2/7/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/11/2020 1:21:18 PM"
"4243","1","12637","","GBHEM","10012","","","","","","","2/12/2020 4:15:45 PM","6000.00","BO","","BCF Endowment","","","CS","CK","0","","60242014","","1/30/2020 12:00:00 AM","","AS","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/12/2020 4:16:54 PM"
"4243","2","12637","","GBHEM","90003","","","","","","","2/12/2020 4:15:45 PM","3000.00","BO","","Graduate Endowment 2019","","","CS","CK","0","","60242014","","1/30/2020 12:00:00 AM","","AS","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/12/2020 4:17:34 PM"
"4243","3","12637","","GBHEM","10007","","","","","","","2/12/2020 4:15:45 PM","265077.37","BO","","BCF Monthly Payments 4th Qtr","","","CS","CK","0","","60241972","","12/31/2019 12:00:00 AM","","AS","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/12/2020 4:18:28 PM"
"4243","5","23369","","CFDES","20052","","","REI","","","","2/12/2020 4:15:45 PM","5000.00","AL","","REI - Real Estate Investment","","","CS","CK","0","","6082","","2/6/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/12/2020 4:26:03 PM"
"4243","6","1208","","CFUNR","20265","","","WCFP","","","","2/12/2020 4:15:45 PM","50.00","AL","","Wiley Cares Food Pantry","","","CS","CK","0","","5655","","2/12/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/12/2020 4:26:59 PM"
"4243","7","23369","","CFUNR","10000","","","","","","","2/12/2020 4:15:45 PM","10000.00","AL","","","","","CS","CK","0","","6082","","2/6/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/20/2020 2:42:44 PM"
"4243","9","23369","","CFDES","20267","","","SEF","","","","2/12/2020 4:15:45 PM","100.00","AL","","Student Emergency Fund","","","CS","CK","0","","6082","","2/6/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","3/19/2020 11:33:03 AM"
"4243","10","23369","","CFDES","20200","","","HC20","","","","2/12/2020 4:15:45 PM","4900.00","AL","","Moved from Founders 2020 to Homecoming 2020","","","CS","CK","0","","6082","","2/6/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","3/19/2020 11:34:14 AM"
"4244","1","1139","","ADMIN","40050","","","","","","","2/12/2020 4:29:29 PM","124.96","EM","","Purchase of 147th Founders Tickets","","","NC","IK","0","","","","2/11/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/12/2020 4:31:53 PM"
"4245","1","129036","","CFDES","20200","","","HCSB","","","","2/13/2020 11:46:53 AM","75.00","EM","","January 2020 Payroll Deduction - Sneaker Ball Tkts","","","CS","PR","0","","","","1/31/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/13/2020 11:51:25 AM"
"4245","2","7900","","CFUNR","10017","","","","","","","2/13/2020 11:46:53 AM","83.33","AL","","Janauary 2020 Payroll Deduction","","","CS","PR","0","","","","1/31/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/13/2020 11:54:24 AM"
"4245","3","126202","","CFUNR","10017","","","","","","","2/13/2020 11:46:53 AM","66.67","EM","","Jan 2020 Payroll Deduction - Revitalization Campgn","","","CS","PR","0","","","","1/31/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/13/2020 11:55:34 AM"
"4245","4","44204","","CFDES","20200","","","HCSB","","","","2/13/2020 11:46:53 AM","56.25","AL","","Jan 2020 Payroll Deduction - Sneaker Ball Tkts","","","CS","PR","0","","","","1/31/2020 12:00:00 AM","","AN"," ","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/13/2020 11:56:49 AM"
"4245","5","1139","","CFDES","20200","","","HCSB","","","","2/13/2020 11:46:53 AM","125.00","EM","","Jan 2020 Payroll Deduction - Sneaker Ball Table","","","CS","PR","0","","","","1/31/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/13/2020 11:57:43 AM"
"4245","6","98377","","CFDES","20200","","","HCSB","","","","2/13/2020 11:46:53 AM","125.00","EM","","Jan 2020 Payroll Deduction - Sneaker Ball","","","CS","PR","0","","","","1/31/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/13/2020 11:58:30 AM"
"4245","7","52372","","CFDES","20264","","","WC","","","","2/13/2020 11:46:53 AM","50.00","AL","","Jan 2020 Payroll Deduction - Wiley Cares","","","CS","PR","0","","","","1/31/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/13/2020 12:02:40 PM"
"4245","8","52372","","CFUNR","10017","","","","","","","2/13/2020 11:46:53 AM","100.00","AL","","Jan 2020 Payroll Deduction - Annual Fund","","","CS","PR","0","","","","1/31/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/13/2020 12:01:33 PM"
"4245","9","129135","","ACADE","41904","","","","","","","2/13/2020 11:46:53 AM","545.46","EM","","Jan 2020 Payroll Deduction","","","CS","PR","0","","","","1/31/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/13/2020 12:03:51 PM"
"4245","10","77880","","CFDES","20200","","","HCSB","","","","2/13/2020 11:46:53 AM","25.00","EM","","Jan 2020 Payroll Deduction - Sneaker Ball Tkt","","","CS","PR","0","","","","1/31/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/13/2020 12:04:43 PM"
"4245","11","127561","","CFDES","20200","","","HCSB","","","","2/13/2020 11:46:53 AM","125.00","EM","","Jan 2020 Payroll Deduction - Sneaker Ball Table","","","CS","PR","0","","","","1/31/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/13/2020 12:05:19 PM"
"4245","12","66838","","CFUNR","10017","","","","","","","2/13/2020 11:46:53 AM","50.00","EM","","Jan 2020 Payroll Deduction - Revitalization Campgn","","","CS","PR","0","","","","1/31/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","2/13/2020 12:06:06 PM"
