"CAMPAIGN_CDE","CAMPAIGN_DESC","PIECES_RET_GOAL","PIECES_RET_ACTUAL","EXPENSES_BUDGET","EXPENSES_ACTUAL","CAMPAN_AMT_GOAL","CAMPAN_AMT_ACTUAL","CASH_GIFT_NUM","CASH_GIFT_AMT","PROMISE_NUM","PROMISE_AMT","PROMISE_PMT_NUM","PROMISE_PMT_AMT","MATCH_GIFT_NUM","MATCH_GIFT_AMT","MATCH_PMT_NUM","MATCH_PMT_AMT","SOFT_CREDIT_NUM","SOFT_CREDIT_AMT","NON_CASH_NUM","NON_CASH_AMT","GIFTS_NUM","GIFTS_AMT","DEFER_NUM","DEFER_AMT","DEFER_PMT_NUM","DEFER_PMT_AMT","DON_RESTR_NUM","DON_RESTR_AMT","ORG_RESTR_NUM","ORG_RESTR_AMT","FIRST_GIFT_DTE","FIRST_GIFT_AMT","LAST_GIFT_DTE","LAST_GIFT_AMT","LARGEST_GIFT_DTE","LARGEST_GIFT_AMT","SMALLEST_GIFT_DTE","SMALLEST_GIFT_AMT","CAMP_CONTACT_ID_NUM","CAMP_START_DATE","CAMP_END_DATE","ONLINE_GIVING_AVAIL","ONLINE_GIVING_DESC","USER_NAME","JOB_NAME","JOB_TIME"
"1517","Gold Cross, Communion","0","0","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 12:00:00 AM"
"1518","Hymnals","0","0","0.00","0.00","0.00","1921.67","19","1816.66","12","200.00","7","105.01","0","0.00","0","0.00","0","0.00","0","0.00","26","1921.67","0","0.00","0","0.00","0","0.00","0","0.00","8/18/2003 12:00:00 AM","50.00","4/28/2006 10:24:37 AM","0.01","9/8/2003 12:00:00 AM","1300.00","4/28/2006 10:24:37 AM","0.01","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 4:57:49 PM"
"1519","Cheerleading","0","0","0.00","0.00","0.00","3605.00","15","3605.00","0","0.00","0","0.00","0","0.00","0","0.00","17","3105.00","0","0.00","15","3605.00","0","0.00","0","0.00","0","0.00","0","0.00","8/13/2003 12:00:00 AM","700.00","8/13/2018 11:12:31 AM","300.00","8/13/2003 12:00:00 AM","700.00","10/30/2017 12:55:10 PM","20.00","","","","N","","drlynch","w_gift_entry","8/13/2018 1:07:36 PM"
"1520","Sanctuary Chair (Chancel)","0","0","0.00","0.00","0.00","6950.00","6","5250.00","1","1000.00","5","1700.00","0","0.00","0","0.00","0","0.00","0","0.00","11","6950.00","0","0.00","0","0.00","0","0.00","0","0.00","9/8/2003 12:00:00 AM","500.00","3/17/2006 5:46:59 PM","1000.00","3/17/2006 5:46:59 PM","1000.00","11/30/2005 12:00:00 AM","75.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 4:55:59 PM"
"1521","Candle Holders","0","0","0.00","0.00","0.00","600.00","1","600.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","1","600.00","0","0.00","0","0.00","0","0.00","0","0.00","9/8/2003 12:00:00 AM","1300.00","9/8/2003 12:00:00 AM","1300.00","9/8/2003 12:00:00 AM","1300.00","9/8/2003 12:00:00 AM","1300.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 4:21:14 PM"
"1522","Christian Flag","0","0","0.00","0.00","0.00","200.00","1","200.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","1","200.00","0","0.00","0","0.00","0","0.00","0","0.00","9/8/2003 12:00:00 AM","1300.00","9/8/2003 12:00:00 AM","1300.00","9/8/2003 12:00:00 AM","1300.00","9/8/2003 12:00:00 AM","1300.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 4:21:14 PM"
"1523","American Flag","0","0","0.00","0.00","0.00","200.00","1","200.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","1","200.00","0","0.00","0","0.00","0","0.00","0","0.00","9/8/2003 12:00:00 AM","1300.00","9/8/2003 12:00:00 AM","1300.00","9/8/2003 12:00:00 AM","1300.00","9/8/2003 12:00:00 AM","1300.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 4:21:14 PM"
"1524","Communion Trays","0","0","0.00","0.00","0.00","5000.00","1","5000.00","0","0.00","0","0.00","0","0.00","0","0.00","1","5000.00","0","0.00","1","5000.00","0","0.00","0","0.00","0","0.00","0","0.00","10/10/2003 11:09:12 AM","5000.00","10/10/2003 11:09:12 AM","5000.00","10/10/2003 11:09:12 AM","5000.00","10/10/2003 11:09:12 AM","5000.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 4:21:37 PM"
"1525","Prayer (Conference) Room","0","0","0.00","0.00","0.00","60000.00","0","0.00","0","0.00","2","60000.00","0","0.00","0","0.00","0","0.00","0","0.00","2","60000.00","0","0.00","0","0.00","0","0.00","0","0.00","11/6/2003 12:00:00 AM","30000.00","4/30/2005 12:00:00 AM","30000.00","4/30/2005 12:00:00 AM","30000.00","11/6/2003 12:00:00 AM","30000.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 4:44:39 PM"
"1535","Stained Glass Windows","0","0","0.00","0.00","0.00","213181.51","7","176681.51","13","32500.00","13","32500.00","1","4000.00","1","4000.00","2","14000.00","0","0.00","21","213181.51","0","0.00","0","0.00","0","0.00","0","0.00","12/28/1998 12:00:00 AM","7500.00","7/28/2005 1:35:28 PM","2500.00","12/31/2002 12:00:00 AM","121681.51","9/30/2003 12:00:00 AM","1000.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 4:44:53 PM"
"1536","7 Foot Wooden Cross","0","0","0.00","0.00","0.00","200.00","0","0.00","1","200.00","1","200.00","0","0.00","0","0.00","0","0.00","0","0.00","1","200.00","0","0.00","0","0.00","0","0.00","0","0.00","6/30/2005 10:35:34 AM","200.00","6/30/2005 10:35:34 AM","200.00","6/30/2005 10:35:34 AM","200.00","6/30/2005 10:35:34 AM","200.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 4:44:35 PM"
"1537","Robes for Chaplin","0","0","0.00","0.00","0.00","1000.00","0","0.00","5","1000.00","5","1000.00","0","0.00","0","0.00","0","0.00","0","0.00","5","1000.00","0","0.00","0","0.00","0","0.00","0","0.00","10/31/2004 12:00:00 AM","100.00","2/28/2005 12:00:00 AM","85.71","11/30/2004 12:00:00 AM","271.43","2/28/2005 12:00:00 AM","85.71","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 4:39:46 PM"
"1538","Sanctuary Organ","0","0","0.00","0.00","0.00","27500.00","4","22500.00","3","5000.00","3","5000.00","0","0.00","0","0.00","0","0.00","0","0.00","7","27500.00","0","0.00","0","0.00","0","0.00","0","0.00","6/12/2003 2:42:12 PM","20000.00","11/15/2006 1:05:28 PM","1666.66","6/12/2003 2:42:12 PM","20000.00","3/17/2006 5:34:04 PM","500.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 5:03:36 PM"
"1539","Baptismal Font","0","0","0.00","0.00","0.00","1000.00","1","1000.00","0","0.00","0","0.00","0","0.00","0","0.00","1","1000.00","0","0.00","1","1000.00","0","0.00","0","0.00","0","0.00","0","0.00","4/28/2003 12:00:00 AM","1000.00","4/28/2003 12:00:00 AM","1000.00","4/28/2003 12:00:00 AM","1000.00","4/28/2003 12:00:00 AM","1000.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 4:18:28 PM"
"1540","Wiley College Flag","0","0","0.00","0.00","0.00","550.00","1","550.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","1","550.00","0","0.00","0","0.00","0","0.00","0","0.00","12/14/2005 12:00:00 AM","550.00","12/14/2005 12:00:00 AM","550.00","12/14/2005 12:00:00 AM","550.00","12/14/2005 12:00:00 AM","550.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 4:52:11 PM"
"1541","Congregational Chairs","0","0","0.00","0.00","0.00","500.00","1","500.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","1","500.00","0","0.00","0","0.00","0","0.00","0","0.00","3/17/2006 5:42:08 PM","500.00","3/17/2006 5:42:08 PM","500.00","3/17/2006 5:42:08 PM","500.00","3/17/2006 5:42:08 PM","500.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 4:55:58 PM"
"1542","Grand Piano for Chapel","0","0","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 12:00:00 AM"
"1543","Women's Lounge-furnished","0","0","0.00","0.00","0.00","3000.00","3","3000.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","3","3000.00","0","0.00","0","0.00","0","0.00","0","0.00","12/31/2006 12:00:00 AM","1000.00","12/31/2006 12:00:00 AM","1000.00","12/31/2006 12:00:00 AM","1000.00","12/31/2006 12:00:00 AM","1000.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 5:04:36 PM"
"1544","Garden of Life","0","0","0.00","0.00","0.00","12500.00","0","0.00","7","30000.00","2","12500.00","0","0.00","0","0.00","0","0.00","0","0.00","2","12500.00","0","0.00","0","0.00","0","0.00","0","0.00","12/31/2006 12:00:00 AM","10000.00","5/15/2012 12:20:07 PM","2500.00","12/31/2006 12:00:00 AM","10000.00","5/15/2012 12:20:07 PM","2500.00","","","","N","","MTALLEN","w_gift_entry","5/15/2012 12:25:05 PM"
"1545","Grandfather Clock","0","0","0.00","0.00","0.00","1000.00","0","0.00","0","0.00","3","1000.00","0","0.00","0","0.00","0","0.00","0","0.00","3","1000.00","0","0.00","0","0.00","0","0.00","0","0.00","3/21/2006 6:01:36 PM","500.00","3/15/2007 7:32:53 PM","250.00","3/21/2006 6:01:36 PM","500.00","2/19/2007 2:18:05 PM","250.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 5:07:01 PM"
"1546","African-American Artwork","0","0","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 12:00:00 AM"
"1547","Lighting System, Chapel","0","0","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 12:00:00 AM"
"1548","Liturgical Wall Banners","0","0","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 12:00:00 AM"
"AA18","Annual Appeal 2018","0","0","0.00","0.00","0.00","37376.00","51","37376.00","0","0.00","0","0.00","0","0.00","0","0.00","16","28495.00","0","0.00","51","37376.00","0","0.00","0","0.00","0","0.00","0","0.00","10/19/2018 12:00:00 AM","500.00","1/18/2019 1:34:24 PM","100.00","11/7/2018 2:18:27 PM","25000.00","11/7/2018 2:18:27 PM","10.00","","","","N","","drlynch","w_gift_entry","2/21/2019 12:14:32 PM"
"AC  ","Accounting Club 2013-2018","0","0","0.00","0.00","0.00","2185.98","28","2185.98","0","0.00","0","0.00","0","0.00","0","0.00","1","50.00","0","0.00","28","2185.98","0","0.00","0","0.00","0","0.00","0","0.00","4/19/2006 2:42:14 PM","20.00","12/5/2013 8:38:58 AM","90.00","5/5/2006 2:42:11 PM","500.00","4/28/2006 10:46:12 AM","5.00","","","","N","","MTALLEN","w_gift_entry","12/5/2013 11:43:14 AM"
"AC01","Chicago Wiley Club","0","0","0.00","0.00","0.00","40325.00","40","40325.00","0","0.00","0","0.00","0","0.00","0","0.00","41","36845.00","0","0.00","40","40325.00","0","0.00","0","0.00","0","0.00","0","0.00","12/31/2012 12:00:00 AM","200.00","9/5/2013 10:06:33 AM","100.00","3/12/2013 3:55:27 PM","10000.00","3/12/2013 3:55:27 PM","15.00","","","","N","","MTALLEN","w_gift_entry","1/28/2014 11:14:36 AM"
"AC02","Detroit Wiley Club","0","0","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 12:00:00 AM"
"AC03","Texarkana Wiley Club","0","0","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 12:00:00 AM"
"AC04","Longview Area Wiley Club","0","0","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 12:00:00 AM"
"AC05","Georgia Wiley Club","0","0","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 12:00:00 AM"
"AC06","Marshall Wiley Club","0","0","0.00","0.00","0.00","1520.00","5","1520.00","0","0.00","0","0.00","0","0.00","0","0.00","4","1420.00","0","0.00","5","1520.00","0","0.00","0","0.00","0","0.00","0","0.00","3/15/2013 9:42:18 AM","140.00","2/24/2021 12:51:40 PM","100.00","3/3/2014 12:00:00 AM","1000.00","2/24/2021 12:51:40 PM","50.00","","","","N","","drlynch","w_gift_entry","3/24/2021 8:41:45 AM"
"AC07"," ","0","0","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 12:00:00 AM"
"AC08","Hilton Head Island Wiley","0","0","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 12:00:00 AM"
"AC09","Northwest LA Wiley Club","0","0","0.00","0.00","0.00","10270.77","27","7440.00","0","0.00","0","0.00","0","0.00","0","0.00","32","12235.77","3","2830.77","30","10270.77","0","0.00","0","0.00","0","0.00","0","0.00","11/3/2008 12:00:00 AM","50.00","3/3/2014 12:00:00 AM","50.00","12/31/2012 12:00:00 AM","5000.00","10/4/2011 4:07:01 PM","10.00","","","","N","","MTALLEN","w_gift_entry","2/28/2014 3:14:50 PM"
"AC10","Golden Triangle Club","0","0","0.00","0.00","0.00","5000.00","1","5000.00","0","0.00","0","0.00","0","0.00","0","0.00","2","10000.00","0","0.00","1","5000.00","0","0.00","0","0.00","0","0.00","0","0.00","3/15/2013 9:42:18 AM","5000.00","3/15/2013 9:42:18 AM","5000.00","3/15/2013 9:42:18 AM","5000.00","3/15/2013 9:42:18 AM","5000.00","","","","N","","CHALL","w_gift_entry","3/15/2013 10:53:12 AM"
"AC11","Los Angeles Wiley Club","0","0","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 12:00:00 AM"
"AC12","San Francisco Area Club","0","0","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 12:00:00 AM"
"AC13","Greater Kansas Wiley Club","0","0","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 12:00:00 AM"
"AC14","Oklahoma City Wiley Club","0","0","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 12:00:00 AM"
"AC15","Delaware Wiley Club","0","0","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 12:00:00 AM"
"AC16","Jefferson Wiley Club","0","0","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 12:00:00 AM"
"AC17","Dallas Metroplex Club","0","0","0.00","0.00","0.00","250.00","2","250.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","2","250.00","0","0.00","0","0.00","0","0.00","0","0.00","3/1/2018 12:27:38 PM","145.00","3/6/2021 12:00:00 AM","200.00","3/6/2021 12:00:00 AM","200.00","2/25/2021 6:21:21 PM","50.00","","","","N","","drlynch","w_gift_entry","3/17/2021 3:03:30 PM"
"AC18","Houston Wiley Club","0","0","0.00","0.00","0.00","6325.00","11","6325.00","0","0.00","0","0.00","0","0.00","0","0.00","8","4300.00","0","0.00","11","6325.00","0","0.00","0","0.00","0","0.00","0","0.00","9/13/2012 12:55:36 PM","1000.00","2/23/2021 3:15:04 PM","100.00","3/3/2014 12:00:00 AM","1000.00","10/23/2014 3:09:07 PM","20.00","","","","N","","drlynch","w_gift_entry","3/17/2021 1:16:42 PM"
"AC19","Karnack Wiley Club","0","0","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 12:00:00 AM"
"AC20","Lufkin Wiley Club","0","0","0.00","0.00","0.00","400.00","2","400.00","0","0.00","0","0.00","0","0.00","0","0.00","2","400.00","0","0.00","2","400.00","0","0.00","0","0.00","0","0.00","0","0.00","3/15/2013 9:42:18 AM","200.00","3/15/2013 9:42:18 AM","200.00","3/15/2013 9:42:18 AM","200.00","3/15/2013 9:42:18 AM","200.00","","","","N","","CHALL","w_gift_entry","3/15/2013 10:08:51 AM"
"AC21","San Antonio Wiley Club","0","0","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 12:00:00 AM"
"AC22","Fort Worth Wiley Club","0","0","0.00","0.00","0.00","7000.00","25","7000.00","0","0.00","0","0.00","0","0.00","0","0.00","23","7050.00","0","0.00","25","7000.00","0","0.00","0","0.00","0","0.00","0","0.00","12/31/2012 12:00:00 AM","500.00","3/18/2014 11:48:15 AM","130.00","3/16/2013 9:57:46 AM","1500.00","3/16/2013 9:57:46 AM","20.00","","","","N","","MTALLEN","w_gift_entry","3/18/2014 11:52:01 AM"
"AC23","Grambling Wiley Club","0","0","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 12:00:00 AM"
"AF10","Annual Fund 2010-15","0","0","0.00","0.00","0.00","21375.00","28","21375.00","0","0.00","0","0.00","0","0.00","0","0.00","13","12435.00","0","0.00","28","21375.00","0","0.00","0","0.00","0","0.00","0","0.00","11/22/2013 3:40:14 PM","750.00","10/31/2016 12:51:42 PM","15.00","12/27/2013 12:00:00 AM","10000.00","12/31/2013 12:00:00 AM","10.00","","","","N","","mtallen","w_gift_entry","11/1/2016 9:02:12 AM"
"AF11","Annual Fund App 2016-17","0","0","0.00","0.00","0.00","18740.00","45","18740.00","0","0.00","0","0.00","0","0.00","0","0.00","12","12885.00","0","0.00","45","18740.00","0","0.00","0","0.00","0","0.00","0","0.00","10/19/2016 1:42:05 PM","50.00","12/31/2016 12:00:00 AM","150.00","12/29/2016 12:00:00 AM","10000.00","10/24/2016 3:07:37 PM","25.00","","","","N","","mtallen","w_gift_entry","1/5/2017 9:55:31 AM"
"AF12","Annual Fund  17/18","0","0","0.00","0.00","0.00","2635.00","17","2635.00","0","0.00","0","0.00","0","0.00","0","0.00","6","660.00","0","0.00","17","2635.00","0","0.00","0","0.00","0","0.00","0","0.00","12/6/2017 2:27:21 PM","1000.00","3/5/2018 10:04:57 AM","75.00","12/29/2017 12:00:00 AM","10000.00","12/14/2017 8:25:23 AM","10.00","","","","N","","mtallen","w_gift_entry","3/5/2018 12:30:41 PM"
"AF1A","Annual Fund 1 Alum to Ano","0","0","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 12:00:00 AM"
